index,disease_name,description,Possible Steps,image_url
32,Tomato : Leaf Mold,"Tomato leaf mold is a fungal disease that can develop when there are extended periods of leaf wetness and the relative humidity is high (greater than 85 percent). Due to this moisture requirement, the disease is seen primarily in hoophouses and greenhouses. Tomato leaf mold can develop during early spring temperatures (50.9 degrees Fahrenheit) or those characteristic of summer (90 F). The optimal temperature tomato leaf mold is in the low 70s.

Symptoms of disease include yellow spots on the upper leaf surface. Discrete masses of olive-green spores can be seen on the underside of the affected leaves.","When treating tomato plants with fungicide, be sure to cover all areas of the plant that are above the soil, especially the underside of leaves, where the disease often forms. Calcium chloride-based sprays are recommended for treating leaf mold issues. Organic fungicide options are also available.",https://www.gardeningknowhow.com/wp-content/uploads/2018/04/tomato-leaf-mold-400x300.jpg
33,Tomato : Septoria Leaf Spot,"Septoria leaf spot is caused by a fungus, Septoria lycopersici. It is one of the most destructive diseases of tomato foliage and is particularly severe in areas where wet, humid weather persists for extended periods.Septoria leaf spot usually appears on the lower leaves after the first fruit sets. Spots are circular, about 1/16 to 1/4 inch in diameter with dark brown margins and tan to gray centers with small black fruiting structures. Characteristically, there are many spots per leaf. This disease spreads upwards from oldest to youngest growth. If leaf lesions are numerous, the leaves turn slightly yellow, then brown, and then wither. Fruit infection is rare.","Remove diseased leaves. 
Improve air circulation around the plants.
Mulch around the base of the plants. Mulching will reduce splashing soil, which may contain fungal spores associated with debris. Apply mulch after the soil has warmed.
Do not use overhead watering. Overhead watering facilitates infection and spreads the disease. Use a soaker hose at the base of the plant to keep the foliage dry. Water early in the day.
Control weeds. Nightshade and horsenettle are frequently hosts of Septoria leaf spot and should be eradicated around the garden site.
Use crop rotation. Next year do not plant tomatoes back in the same location where diseased tomatoes grew. Wait 1�2 years before replanting tomatoes in these areas.
Use fungicidal sprays.",https://www.missouribotanicalgarden.org/portals/0/Gardening/Gardening%20Help/images/Pests/Septoria_Leaf_Spot_of_Tomato187.jpg
34,Tomato : Spider Mites | Two-Spotted Spider Mite,"The two-spotted spider mite is the most common mite species that attacks vegetable and fruit crops in New England. Spider mites can occur in tomato, eggplant, potato, vine crops such as melons, cucumbers, and other crops. Two-spotted spider mites are one of the most important pests of eggplant. They have up to 20 generations per year and are favored by excess nitrogen and dry and dusty conditions. Outbreaks are often caused by the use of broad-spectrum insecticides which interfere with the numerous natural enemies that help to manage mite populations. As with most pests, catching the problem early will mean easier control.","Avoid weedy fields and do not plant eggplant adjacent to legume forage crops.
Avoid early season, broad-spectrum insecticide applications for other pests.
Do not over-fertilize.
Overhead irrigation or prolonged periods of rain can help reduce populations.",https://entomology.ca.uky.edu/files/styles/panopoly_image_original/public/310a.jpg?itok=XNlP0H9H
35,Tomato : Target Spot,"The disease starts on the older leaves and spreads upwards. The first signs are irregular-shaped spots (less than 1 mm) with a yellow margin . Some of the spots enlarge up to 10 mm and show characteristics rings, hence the name of ""target spot"" . Spread to all leaflets and to other leaves is rapid , causing the leaves to turn yellow, collapse and die . Spots also occur on the stems. They are long and thin. Small light brown spots with dark margins may also occur on the fruit.
The spores are spread by wind-blown rain, and if windy wet weather continues for a few days, spread is fast and plants lose their leaves quickly.","Cultural control is important. The following should be done:
Do not plant new crops next to older ones that have the disease.
Plant as far as possible from papaya, especially if leaves have small angular spots (Photo 5).
Check all seedlings in the nursery, and throw away any with leaf spots.
Remove a few branches from the lower part of the plants to allow better airflow at the base
Remove and burn the lower leaves as soon as the disease is seen, especially after the lower fruit trusses have been picked.
Keep plots free from weeds, as some may be hosts of the fungus.
Do not use overhead irrigation; otherwise, it will create conditions for spore production and infection.
Collect and burn as much of the crop as possible when the harvest is complete.
Practise crop rotation, leaving 3 years before replanting tomato on the same land.",https://barmac.com.au/wp-content/uploads/sites/3/2016/01/Target-Spot-Tomato1.jpg
36,Tomato : Yellow Leaf Curl Virus,"Tomato yellow leaf curl virus is a species in the genus Begomovirus and family Geminiviridae. Tomato yellow leaf curl virus (TYLCV) infection induces severe symptoms on tomato plants and causes serious yield losses worldwide. TYLCV is persistently transmitted by the sweetpotato whitefly, Bemisia tabaci (Gennadius). Cultivars and hybrids with a single or few genes conferring resistance against TYLCV are often planted to mitigate TYLCV-induced losses. These resistant genotypes (cultivars or hybrids) are not immune to TYLCV. They typically develop systemic infection, display mild symptoms, and produce more marketable tomatoes than susceptible genotypes under TYLCV pressure.In several pathosystems, extensive use of resistant cultivars with single dominant resistance-conferring gene has led to intense selection pressure on the virus, development of highly virulent strains, and resistance breakdown.",Use only virus-and whitefly-free tomato and pepper transplants. Transplants should be treated with Capture (bifenthrin) or Venom (dinotefuran) for whitefly adults and Oberon for eggs and nymphs. Imidacloprid or thiamethoxam should be used in transplant houses at least seven days before shipping. Imidacloprid should be sprayed on the entire plant and below the leaves; eggs and flies are often found below the leaves. Spray every 14-21 days and rotate on a monthly basis with Abamectin so that the whiteflies do not build-up resistance to chemicals.,https://gd.eppo.int/media/data/taxon/T/TYLCV0/pics/1024x0/10609.jpg
37,Tomato : Mosaic Virus,"Tomato mosaic virus (ToMV) and  Tobacco mosaic virus (TMV) are hard to distinguish.
Tomato mosaic virus (ToMV) can cause yellowing and stunting of tomato plants resulting in loss of stand and reduced yield.
ToMV may cause uneven ripening of fruit, further reducing yield.
Tobacco mosaic virus (TMV) was once thought to be more common on tomato. 
TMV is usually more of a tobacco pathogen than a tomato pathogen.Mottled light and dark green on leaves.
Young tomato leaf that is mottled light and dark green, stunted growth, curled and malformed leaves.
Tobacco Mosaic virus symptoms on a tomato seedling
If plants are infected early, they may appear yellow and stunted overall.
Leaves may be curled, malformed, or reduced in size.","Use certified disease-free seed or treat your own seed.
Soak seeds in a 10% solution of trisodium phosphate (Na3PO4) for at least 15 minutes.
Or heat dry seeds to 158 �F and hold them at that temperature for two to four days.
Purchase transplants only from reputable sources. Ask about the sanitation procedures they use to prevent disease.
Inspect transplants prior to purchase. Choose only transplants showing no clear symptoms.
Avoid planting in fields where tomato root debris is present, as the virus can survive long-term in roots.
Wash hands with soap and water before and during the handling of plants to reduce potential spread between plants.",http://ucanr.edu/blogs/dirt/blogfiles/71403_original.jpg
38,Tomato : Healthy,"Fertilize one week before as well as on the day of planting. They especially love phosphorous, which promotes the formation of blossoms and the fruits or vegetables that grow from them. Avoid high nitrogen when your tomato plants have blossoms as it promotes vine growth rather than fruit growth.Don't Crowd Tomato Seedlings.Provide Lots of Light.Preheat the Garden Soil.Bury the Stems.Mulch Tomatoes After the Soil Has Warmed.Remove the Bottom Leaves.Pinch and Prune for More Tomatoes.Water Regularly.","The tomato (Solanum lycopersicum) is a fruit from the nightshade family native to South America.

Despite botanically being a fruit, it�s generally eaten and prepared like a vegetable.

Tomatoes are the major dietary source of the antioxidant lycopene, which has been linked to many health benefits, including reduced risk of heart disease and cancer.

They are also a great source of vitamin C, potassium, folate, and vitamin K.",https://cdn8.dissolve.com/p/D869_27_632/D869_27_632_1200.jpg
39,Cucumber : Downy Mildew,"Downy mildew is a common and serious disease of cucurbits, especially in humid regions. The disease appears as yellow to brown spots on the upper surface of leaves, with a downy, grayish-purple growth on the underside. The spots may coalesce and cause the leaves to turn brown and die. The disease can spread rapidly in cool, wet conditions and can cause significant yield loss.","Plant resistant varieties when available.
Practice crop rotation.
Remove and destroy infected plants.
Use fungicides preventively.
Improve air circulation by proper spacing and pruning.
Avoid overhead irrigation.
Remove weeds that may harbor the disease.",https://extension.umn.edu/sites/extension.umn.edu/files/styles/caption_medium/public/downy-mildew-cucumber.jpg
40,Cucumber : Powdery Mildew,"Powdery mildew appears as white, powdery spots on the upper surface of leaves, stems, and sometimes fruits. The spots may coalesce and cover the entire leaf surface. Infected leaves turn yellow and may die prematurely. The disease is favored by warm, dry conditions and can spread rapidly.","Plant resistant varieties.
Improve air circulation.
Remove infected plant parts.
Use fungicides when necessary.
Practice proper spacing between plants.
Remove weeds that may harbor the disease.
Use reflective mulches to reduce disease severity.",https://extension.umn.edu/sites/extension.umn.edu/files/styles/caption_medium/public/powdery-mildew-cucumber.jpg
41,Cucumber : Healthy,"Cucumbers need consistent moisture throughout the growing season. Water deeply and regularly, especially during hot weather. Mulch around plants to conserve moisture and prevent weeds. Provide support for vining varieties. Harvest regularly to encourage continued production.","Cucumbers are low in calories but high in many important vitamins and minerals.
They may help reduce blood sugar.
They contain antioxidants.
They promote hydration.
They may help with weight loss.
They may help prevent cancer.
They may help with heart health.",https://www.gardeningknowhow.com/wp-content/uploads/2019/04/cucumber-plant.jpg
42,Carrot : Leaf Blight,"Carrot leaf blight is caused by Alternaria dauci and can cause significant yield loss. Symptoms include brown to black spots on leaves that may coalesce, causing leaves to turn yellow and die. The disease can also affect the roots, causing them to become unmarketable.","Practice crop rotation.
Remove and destroy infected plant debris.
Use disease-free seed.
Apply fungicides when necessary.
Improve air circulation.
Avoid overhead irrigation.
Plant resistant varieties when available.",https://www.ag.ndsu.edu/publications/crops/carrot-leaf-blight/figure-1-opt.jpeg
43,Carrot : Healthy,"Carrots need loose, well-drained soil to develop properly. Keep the soil consistently moist but not waterlogged. Thin seedlings to prevent overcrowding. Mulch to conserve moisture and prevent weeds. Harvest when roots reach desired size.","Carrots are rich in beta-carotene, which is converted to vitamin A in the body.
They contain antioxidants that may help prevent cancer.
They promote eye health.
They may help with heart health.
They support digestive health.
They may help with blood sugar control.",https://www.gardeningknowhow.com/wp-content/uploads/2019/04/carrot-plant.jpg
44,Lettuce : Downy Mildew,"Lettuce downy mildew appears as yellow to brown spots on the upper surface of leaves, with a downy, grayish-purple growth on the underside. The disease can cause significant yield loss and make lettuce unmarketable.","Plant resistant varieties.
Practice crop rotation.
Remove and destroy infected plants.
Use fungicides preventively.
Improve air circulation.
Avoid overhead irrigation.
Remove weeds that may harbor the disease.",https://extension.umn.edu/sites/extension.umn.edu/files/styles/caption_medium/public/downy-mildew-lettuce.jpg
45,Lettuce : Healthy,"Lettuce needs consistent moisture and cool temperatures for best growth. Plant in well-drained soil and provide partial shade in hot weather. Harvest leaves as needed or cut the entire head when mature.","Lettuce is low in calories but high in nutrients.
It contains antioxidants.
It promotes hydration.
It may help with weight loss.
It supports digestive health.
It may help with heart health.
It's a good source of vitamin K.",https://www.gardeningknowhow.com/wp-content/uploads/2019/04/lettuce-plant.jpg
46,Pepper : Phytophthora Blight,"Phytophthora blight is a serious disease that affects peppers and other solanaceous crops. Symptoms include dark brown to black lesions on stems, wilting of plants, and fruit rot. The disease is favored by warm, wet conditions and can cause significant yield loss.","Use disease-free transplants.
Practice crop rotation.
Improve soil drainage.
Avoid overwatering.
Remove and destroy infected plants.
Use fungicides preventively.
Plant resistant varieties when available.",https://extension.umn.edu/sites/extension.umn.edu/files/styles/caption_medium/public/phytophthora-blight-pepper.jpg
47,Pepper : Healthy,"Peppers need warm temperatures and well-drained soil. Water consistently but avoid overwatering. Provide support for larger varieties. Harvest when fruits reach desired size and color.","Peppers are rich in vitamins A and C.
They contain antioxidants.
They may help with pain relief.
They support eye health.
They may help with weight management.
They promote heart health.",https://www.gardeningknowhow.com/wp-content/uploads/2019/04/pepper-plant.jpg
48,Spinach : Downy Mildew,"Spinach downy mildew appears as yellow to brown spots on the upper surface of leaves, with a downy, grayish-purple growth on the underside. The disease can cause significant yield loss and make spinach unmarketable.","Plant resistant varieties.
Practice crop rotation.
Remove and destroy infected plants.
Use fungicides preventively.
Improve air circulation.
Avoid overhead irrigation.
Remove weeds that may harbor the disease.",https://extension.umn.edu/sites/extension.umn.edu/files/styles/caption_medium/public/downy-mildew-spinach.jpg
49,Spinach : Healthy,"Spinach needs cool temperatures and consistent moisture. Plant in well-drained soil rich in organic matter. Harvest leaves as needed or cut the entire plant when mature.","Spinach is nutrient-dense.
It's rich in iron.
It contains antioxidants.
It promotes eye health.
It supports bone health.
It may help with blood pressure.
It's a good source of vitamin K.",https://www.gardeningknowhow.com/wp-content/uploads/2019/04/spinach-plant.jpg
50,Cauliflower : Black Rot,"Black rot is a bacterial disease that affects cauliflower and other brassicas. Symptoms include V-shaped yellow lesions on leaf margins that turn brown and black, and black veins in the leaves.","Use disease-free seed.
Practice crop rotation.
Remove and destroy infected plants.
Improve air circulation.
Avoid overhead irrigation.
Control cruciferous weeds.
Plant resistant varieties when available.",https://extension.umn.edu/sites/extension.umn.edu/files/styles/caption_medium/public/black-rot-cauliflower.jpg
51,Cauliflower : Healthy,"Cauliflower needs cool temperatures and consistent moisture. Plant in well-drained soil rich in organic matter. Blanch heads by tying leaves over them when they reach 2-3 inches in diameter.","Cauliflower is low in calories.
It's rich in vitamins C and K.
It contains antioxidants.
It supports digestive health.
It may help with heart health.
It promotes bone health.
It's versatile in cooking.",https://www.gardeningknowhow.com/wp-content/uploads/2019/04/cauliflower-plant.jpg
52,Broccoli : Black Leg,"Black leg is a fungal disease that affects broccoli and other brassicas. Symptoms include gray to black lesions on stems and leaves, and can cause plant death in severe cases.","Use disease-free seed.
Practice crop rotation.
Remove and destroy infected plants.
Improve air circulation.
Avoid overhead irrigation.
Control cruciferous weeds.
Plant resistant varieties when available.",https://extension.umn.edu/sites/extension.umn.edu/files/styles/caption_medium/public/black-leg-broccoli.jpg
53,Broccoli : Healthy,"Broccoli needs cool temperatures and consistent moisture. Plant in well-drained soil rich in organic matter. Harvest heads when they reach desired size and before flowers open.","Broccoli is nutrient-dense.
It's rich in vitamins C and K.
It contains antioxidants.
It may help prevent cancer.
It supports eye health.
It promotes bone health.
It's versatile in cooking.",https://www.gardeningknowhow.com/wp-content/uploads/2019/04/broccoli-plant.jpg
54,Cabbage : Club Root,"Club root is a soil-borne disease that affects cabbage and other brassicas. Symptoms include swollen, distorted roots and stunted growth. The disease can persist in soil for many years.","Use disease-free transplants.
Practice crop rotation.
Lime soil to raise pH.
Improve soil drainage.
Remove and destroy infected plants.
Control cruciferous weeds.
Plant resistant varieties when available.",https://extension.umn.edu/sites/extension.umn.edu/files/styles/caption_medium/public/club-root-cabbage.jpg
55,Cabbage : Healthy,"Cabbage needs cool temperatures and consistent moisture. Plant in well-drained soil rich in organic matter. Harvest heads when they reach desired size and feel firm.","Cabbage is low in calories.
It's rich in vitamins C and K.
It contains antioxidants.
It supports digestive health.
It may help with heart health.
It promotes bone health.
It's versatile in cooking.",https://www.gardeningknowhow.com/wp-content/uploads/2019/04/cabbage-plant.jpg
56,Radish : Black Root,"Black root is a fungal disease that affects radishes. Symptoms include black lesions on roots and stunted growth. The disease can cause significant yield loss.","Use disease-free seed.
Practice crop rotation.
Improve soil drainage.
Remove and destroy infected plants.
Avoid overwatering.
Control weeds.
Plant resistant varieties when available.",https://extension.umn.edu/sites/extension.umn.edu/files/styles/caption_medium/public/black-root-radish.jpg
57,Radish : Healthy,"Radishes need cool temperatures and consistent moisture. Plant in well-drained soil. Harvest when roots reach desired size, usually 3-4 weeks after planting.","Radishes are low in calories.
They're rich in vitamin C.
They contain antioxidants.
They support digestive health.
They may help with blood pressure.
They promote hydration.
They're quick to mature.",https://www.gardeningknowhow.com/wp-content/uploads/2019/04/radish-plant.jpg
58,Beet : Cercospora Leaf Spot,"Cercospora leaf spot is a fungal disease that affects beets. Symptoms include circular brown spots with purple borders on leaves. The disease can cause defoliation and reduce root quality.","Use disease-free seed.
Practice crop rotation.
Remove and destroy infected leaves.
Improve air circulation.
Avoid overhead irrigation.
Control weeds.
Plant resistant varieties when available.",https://extension.umn.edu/sites/extension.umn.edu/files/styles/caption_medium/public/cercospora-leaf-spot-beet.jpg
59,Beet : Healthy,"Beets need cool temperatures and consistent moisture. Plant in well-drained soil rich in organic matter. Harvest when roots reach desired size, usually 7-8 weeks after planting.","Beets are nutrient-dense.
They're rich in folate.
They contain antioxidants.
They support liver health.
They may help with blood pressure.
They promote exercise performance.
They're versatile in cooking.",https://www.gardeningknowhow.com/wp-content/uploads/2019/04/beet-plant.jpg
60,Onion : Purple Blotch,"Purple blotch is a fungal disease that affects onions. Symptoms include purple to brown lesions on leaves and bulbs. The disease can cause significant yield loss and reduce storage quality.","Use disease-free seed.
Practice crop rotation.
Remove and destroy infected plants.
Improve air circulation.
Avoid overhead irrigation.
Control weeds.
Plant resistant varieties when available.",https://extension.umn.edu/sites/extension.umn.edu/files/styles/caption_medium/public/purple-blotch-onion.jpg
61,Onion : Healthy,"Onions need well-drained soil and consistent moisture. Plant in full sun. Harvest when tops fall over and begin to dry.","Onions are low in calories.
They're rich in vitamin C.
They contain antioxidants.
They support heart health.
They may help with blood sugar.
They promote bone health.
They're versatile in cooking.",https://www.gardeningknowhow.com/wp-content/uploads/2019/04/onion-plant.jpg
62,Garlic : White Rot,"White rot is a fungal disease that affects garlic and other alliums. Symptoms include yellowing leaves, stunted growth, and white fungal growth on bulbs. The disease can persist in soil for many years.","Use disease-free seed.
Practice crop rotation.
Remove and destroy infected plants.
Improve soil drainage.
Avoid overwatering.
Control weeds.
Plant resistant varieties when available.",https://extension.umn.edu/sites/extension.umn.edu/files/styles/caption_medium/public/white-rot-garlic.jpg
63,Garlic : Healthy,"Garlic needs well-drained soil and consistent moisture. Plant in full sun. Harvest when tops begin to yellow and fall over.","Garlic has antimicrobial properties.
It may help with blood pressure.
It supports immune health.
It contains antioxidants.
It may help with cholesterol.
It promotes heart health.
It's versatile in cooking.",https://www.gardeningknowhow.com/wp-content/uploads/2019/04/garlic-plant.jpg
64,Leek : Rust,"Rust is a fungal disease that affects leeks and other alliums. Symptoms include orange to brown pustules on leaves. The disease can cause defoliation and reduce yield.","Use disease-free seed.
Practice crop rotation.
Remove and destroy infected leaves.
Improve air circulation.
Avoid overhead irrigation.
Control weeds.
Plant resistant varieties when available.",https://extension.umn.edu/sites/extension.umn.edu/files/styles/caption_medium/public/rust-leek.jpg
65,Leek : Healthy,"Leeks need well-drained soil and consistent moisture. Plant in full sun. Harvest when stems reach desired size, usually 4-6 months after planting.","Leeks are low in calories.
They're rich in vitamin K.
They contain antioxidants.
They support heart health.
They may help with blood pressure.
They promote bone health.
They're versatile in cooking.",https://www.gardeningknowhow.com/wp-content/uploads/2019/04/leek-plant.jpg
66,Shallot : Downy Mildew,"Downy mildew is a fungal disease that affects shallots and other alliums. Symptoms include yellow to brown spots on leaves with a downy growth on the underside.","Use disease-free seed.
Practice crop rotation.
Remove and destroy infected leaves.
Improve air circulation.
Avoid overhead irrigation.
Control weeds.
Plant resistant varieties when available.",https://extension.umn.edu/sites/extension.umn.edu/files/styles/caption_medium/public/downy-mildew-shallot.jpg
67,Shallot : Healthy,"Shallots need well-drained soil and consistent moisture. Plant in full sun. Harvest when tops begin to yellow and fall over.","Shallots are nutrient-dense.
They contain antioxidants.
They support heart health.
They may help with blood pressure.
They promote bone health.
They're versatile in cooking.
They have a mild flavor.",https://www.gardeningknowhow.com/wp-content/uploads/2019/04/shallot-plant.jpg
68,Chive : Pink Root,"Pink root is a fungal disease that affects chives and other alliums. Symptoms include pink to red roots and stunted growth. The disease can cause significant yield loss.","Use disease-free seed.
Practice crop rotation.
Remove and destroy infected plants.
Improve soil drainage.
Avoid overwatering.
Control weeds.
Plant resistant varieties when available.",https://extension.umn.edu/sites/extension.umn.edu/files/styles/caption_medium/public/pink-root-chive.jpg
69,Chive : Healthy,"Chives need well-drained soil and consistent moisture. Plant in full sun or partial shade. Harvest leaves as needed, cutting back to 2 inches above the soil.","Chives are low in calories.
They're rich in vitamin K.
They contain antioxidants.
They support heart health.
They may help with blood pressure.
They promote bone health.
They add flavor to dishes.",https://www.gardeningknowhow.com/wp-content/uploads/2019/04/chive-plant.jpg
70,Scallion : Bacterial Soft Rot,"Bacterial soft rot affects scallions and other alliums. Symptoms include soft, watery decay of leaves and bulbs. The disease is favored by warm, wet conditions.","Use disease-free seed.
Practice crop rotation.
Remove and destroy infected plants.
Improve air circulation.
Avoid overhead irrigation.
Control weeds.
Plant resistant varieties when available.",https://extension.umn.edu/sites/extension.umn.edu/files/styles/caption_medium/public/bacterial-soft-rot-scallion.jpg
71,Scallion : Healthy,"Scallions need well-drained soil and consistent moisture. Plant in full sun. Harvest when stems reach desired size, usually 6-8 weeks after planting.","Scallions are low in calories.
They're rich in vitamin K.
They contain antioxidants.
They support heart health.
They may help with blood pressure.
They promote bone health.
They add flavor to dishes.",https://www.gardeningknowhow.com/wp-content/uploads/2019/04/scallion-plant.jpg
72,Watermelon : Fusarium Wilt,"Fusarium wilt is a fungal disease that affects watermelons and other cucurbits. Symptoms include yellowing and wilting of leaves, starting with older leaves. The disease can cause plant death.","Use disease-free seed.
Practice crop rotation.
Remove and destroy infected plants.
Improve soil drainage.
Avoid overwatering.
Control weeds.
Plant resistant varieties when available.",https://extension.umn.edu/sites/extension.umn.edu/files/styles/caption_medium/public/fusarium-wilt-watermelon.jpg
73,Watermelon : Healthy,"Watermelons need warm temperatures and well-drained soil. Water consistently but avoid overwatering. Provide support for fruits to prevent ground rot.","Watermelons are hydrating.
They're rich in vitamins A and C.
They contain antioxidants.
They support heart health.
They may help with blood pressure.
They promote hydration.
They're refreshing in summer.",https://www.gardeningknowhow.com/wp-content/uploads/2019/04/watermelon-plant.jpg
74,Cantaloupe : Alternaria Leaf Spot,"Alternaria leaf spot is a fungal disease that affects cantaloupes and other cucurbits. Symptoms include brown spots with concentric rings on leaves. The disease can cause defoliation.","Use disease-free seed.
Practice crop rotation.
Remove and destroy infected leaves.
Improve air circulation.
Avoid overhead irrigation.
Control weeds.
Plant resistant varieties when available.",https://extension.umn.edu/sites/extension.umn.edu/files/styles/caption_medium/public/alternaria-leaf-spot-cantaloupe.jpg
75,Cantaloupe : Healthy,"Cantaloupes need warm temperatures and well-drained soil. Water consistently but avoid overwatering. Provide support for fruits to prevent ground rot.","Cantaloupes are hydrating.
They're rich in vitamins A and C.
They contain antioxidants.
They support eye health.
They may help with blood pressure.
They promote hydration.
They're sweet and refreshing.",https://www.gardeningknowhow.com/wp-content/uploads/2019/04/cantaloupe-plant.jpg
76,Honeydew : Powdery Mildew,"Powdery mildew is a fungal disease that affects honeydews and other cucurbits. Symptoms include white, powdery spots on leaves that can spread to stems and fruits.","Use disease-free seed.
Practice crop rotation.
Remove and destroy infected leaves.
Improve air circulation.
Avoid overhead irrigation.
Control weeds.
Plant resistant varieties when available.",https://extension.umn.edu/sites/extension.umn.edu/files/styles/caption_medium/public/powdery-mildew-honeydew.jpg
77,Honeydew : Healthy,"Honeydews need warm temperatures and well-drained soil. Water consistently but avoid overwatering. Provide support for fruits to prevent ground rot.","Honeydews are hydrating.
They're rich in vitamins C and K.
They contain antioxidants.
They support heart health.
They may help with blood pressure.
They promote hydration.
They're sweet and refreshing.",https://www.gardeningknowhow.com/wp-content/uploads/2019/04/honeydew-plant.jpg
78,Pumpkin : Downy Mildew,"Downy mildew is a fungal disease that affects pumpkins and other cucurbits. Symptoms include yellow to brown spots on leaves with a downy growth on the underside.","Use disease-free seed.
Practice crop rotation.
Remove and destroy infected leaves.
Improve air circulation.
Avoid overhead irrigation.
Control weeds.
Plant resistant varieties when available.",https://extension.umn.edu/sites/extension.umn.edu/files/styles/caption_medium/public/downy-mildew-pumpkin.jpg
79,Pumpkin : Healthy,"Pumpkins need warm temperatures and well-drained soil. Water consistently but avoid overwatering. Provide support for fruits to prevent ground rot.","Pumpkins are nutrient-dense.
They're rich in vitamin A.
They contain antioxidants.
They support eye health.
They may help with blood pressure.
They promote heart health.
They're versatile in cooking.",https://www.gardeningknowhow.com/wp-content/uploads/2019/04/pumpkin-plant.jpg
80,Squash : Bacterial Wilt,"Bacterial wilt is a disease that affects squash and other cucurbits. Symptoms include sudden wilting of leaves and stems. The disease is spread by cucumber beetles.","Use disease-free seed.
Practice crop rotation.
Remove and destroy infected plants.
Control cucumber beetles.
Use row covers.
Plant resistant varieties when available.
Remove weeds that may harbor beetles.",https://extension.umn.edu/sites/extension.umn.edu/files/styles/caption_medium/public/bacterial-wilt-squash.jpg
81,Squash : Healthy,"Squash needs warm temperatures and well-drained soil. Water consistently but avoid overwatering. Provide support for vining varieties.","Squash is nutrient-dense.
It's rich in vitamins A and C.
It contains antioxidants.
It supports eye health.
It may help with blood pressure.
It promotes heart health.
It's versatile in cooking.",https://www.gardeningknowhow.com/wp-content/uploads/2019/04/squash-plant.jpg
82,Zucchini : Mosaic Virus,"Mosaic virus affects zucchini and other cucurbits. Symptoms include mottled leaves, stunted growth, and distorted fruits. The disease is spread by aphids.","Use disease-free seed.
Practice crop rotation.
Remove and destroy infected plants.
Control aphids.
Use row covers.
Plant resistant varieties when available.
Remove weeds that may harbor aphids.",https://extension.umn.edu/sites/extension.umn.edu/files/styles/caption_medium/public/mosaic-virus-zucchini.jpg
83,Zucchini : Healthy,"Zucchini needs warm temperatures and well-drained soil. Water consistently but avoid overwatering. Harvest fruits when they reach 6-8 inches in length.","Zucchini is low in calories.
It's rich in vitamins A and C.
It contains antioxidants.
It supports eye health.
It may help with blood pressure.
It promotes heart health.
It's versatile in cooking.",https://www.gardeningknowhow.com/wp-content/uploads/2019/04/zucchini-plant.jpg
84,Eggplant : Verticillium Wilt,"Verticillium wilt is a fungal disease that affects eggplants and other solanaceous crops. Symptoms include yellowing and wilting of leaves, starting with older leaves.","Use disease-free seed.
Practice crop rotation.
Remove and destroy infected plants.
Improve soil drainage.
Avoid overwatering.
Control weeds.
Plant resistant varieties when available.",https://extension.umn.edu/sites/extension.umn.edu/files/styles/caption_medium/public/verticillium-wilt-eggplant.jpg
85,Eggplant : Healthy,"Eggplants need warm temperatures and well-drained soil. Water consistently but avoid overwatering. Provide support for larger varieties.","Eggplants are low in calories.
They're rich in antioxidants.
They support heart health.
They may help with blood pressure.
They promote brain health.
They're versatile in cooking.
They're a good source of fiber.",https://www.gardeningknowhow.com/wp-content/uploads/2019/04/eggplant-plant.jpg
86,Okra : Fusarium Wilt,"Fusarium wilt is a fungal disease that affects okra. Symptoms include yellowing and wilting of leaves, starting with older leaves. The disease can cause plant death.","Use disease-free seed.
Practice crop rotation.
Remove and destroy infected plants.
Improve soil drainage.
Avoid overwatering.
Control weeds.
Plant resistant varieties when available.",https://extension.umn.edu/sites/extension.umn.edu/files/styles/caption_medium/public/fusarium-wilt-okra.jpg
87,Okra : Healthy,"Okra needs warm temperatures and well-drained soil. Water consistently but avoid overwatering. Harvest pods when they reach 3-4 inches in length.","Okra is low in calories.
It's rich in vitamins C and K.
It contains antioxidants.
It supports heart health.
It may help with blood sugar.
It promotes digestive health.
It's versatile in cooking.",https://www.gardeningknowhow.com/wp-content/uploads/2019/04/okra-plant.jpg
88,Bean : Anthracnose,"Anthracnose is a fungal disease that affects beans. Symptoms include brown spots on leaves, stems, and pods. The disease can cause significant yield loss.","Use disease-free seed.
Practice crop rotation.
Remove and destroy infected plants.
Improve air circulation.
Avoid overhead irrigation.
Control weeds.
Plant resistant varieties when available.",https://extension.umn.edu/sites/extension.umn.edu/files/styles/caption_medium/public/anthracnose-bean.jpg
89,Bean : Healthy,"Beans need well-drained soil and consistent moisture. Plant in full sun. Harvest pods when they reach desired size, before seeds mature.","Beans are high in protein.
They're rich in fiber.
They contain antioxidants.
They support heart health.
They may help with blood sugar.
They promote digestive health.
They're versatile in cooking.",https://www.gardeningknowhow.com/wp-content/uploads/2019/04/bean-plant.jpg
90,Pea : Ascochyta Blight,"Ascochyta blight is a fungal disease that affects peas. Symptoms include brown spots on leaves, stems, and pods. The disease can cause significant yield loss.","Use disease-free seed.
Practice crop rotation.
Remove and destroy infected plants.
Improve air circulation.
Avoid overhead irrigation.
Control weeds.
Plant resistant varieties when available.",https://extension.umn.edu/sites/extension.umn.edu/files/styles/caption_medium/public/ascochyta-blight-pea.jpg
